No,필드한글명,필드영문명,설명,코드여부,유효값,타입
82,재무비율_영업이익율,R015,영업이익율,N,,Num
83,재무비율_당기순이익율,R016,당기순이익율,N,,Num
84,재무비율_매출원가율,R013,매출원가율,N,,Num
85,재무비율_판관비율,R014,판관비율,N,,Num
86,재무비율_자기자본이익률(ROE),R018,자기자본이익률(ROE),N,,Num
87,재무비율_매출채권회전율,R019,매출채권회전율,N,,Num
88,재무비율_재고자산회전율,R020,재고자산회전율,N,,Num
89,재무비율_매입채무회전율,R021,매입채무회전율,N,,Num
90,재무비율_총자산회전율,R022,총자산회전율,N,,Num
91,재무비율_총자산순이익률,R023,총자산순이익률,N,,Num
92,재무비율_유동자산증가율,R024,유동자산증가율,N,,Num
93,재무비율_유형자산증가율,R025,유형자산증가율,N,,Num
94,단기차입금의존도,N001,단기차입금의존도,N,,Num
95,당좌비율,R009,당좌비율,N,,Num
96,순차입금비율,N002,순차입금비율,N,,Num
97,순운전자본회전율,N003,순운전자본회전율,N,,Num
98,총자본회전율,N012,총자본회전율,N,,Num
99,자기자본순이익율,N004,자기자본순이익율,N,,Num
100,매출총이익율,N005,매출총이익율,N,,Num
101,EBITDA마진율,N006,EBITDA마진율,N,,Num
102,영업이익증가율,R003,영업이익증가율,N,,Num
103,당기순이익증가율,R004,당기순이익증가율,N,,Num
104,EBITDA증가율,N007,EBITDA증가율,N,,Num
105,OCF/매출액비용,N008,OCF/매출액비용,N,,Num
106,부채상환계수,N009,부채상환계수,N,,Num
107,차입금/EBITDA,N010,차입금/EBITDA,N,,Num
108,EBITDA/금융비용,N011,EBITDA/금융비용,N,,Num
109,사업장소유여부,AS1C10132,,Y,"0 : 부
1 : 여",Char
110,소유건축물건수,AS1C20102,,N,,Int
111,소유건축물실거래가합계,AS3C30110,,N,,Int
112,사업장권리침해여부,ASCD10103,,Y,"0 : 부
1 : 여",Char
113,소유건축물권리침해여부,ASCD10101,,Y,"0 : 부
1 : 여",Char
114,기업신용공여연체과목수(일보)(미해제),DA0D00021,기준년월 시점 대출연체 과목수,N,,Int
115,기업신용공여연체과목수(일보)(3개월내유지)(해제포함),DA0D00024,기준년월 시점 3개월내 대출연체 유지 과목수(연체대출금 상환 포함),N,,Int
116,기업신용공여연체과목수(일보)(6개월내유지)(해제포함),DA0D00025,기준년월 시점 6개월내 대출연체 유지 과목수(연체대출금 상환 포함),N,,Int
117,기업신용공여연체과목수(일보)(1년내유지)(해제포함),DA0D00026,기준년월 시점 1년내 대출연체 유지 과목수(연체대출금 상환 포함),N,,Int
118,기업신용공여연체과목수(일보)(3년내유지)(해제포함),DA0D00026_1,기준년월 시점 3년내 대출연체 유지 과목수(연체대출금 상환 포함),N,,Int
119,기업신용공여연체과목수(일보)(3개월내발생)(해제포함),DA0D00027,기준년월 시점 3개월내 대출연체 신규발생 과목수(연체대출금 상환 포함),N,,Int
120,기업신용공여연체과목수(일보)(6개월내발생)(해제포함),DA0D00028,기준년월 시점 6개월내 대출연체 신규발생 과목수(연체대출금 상환 포함),N,,Int
121,기업신용공여연체과목수(일보)(1년내발생)(해제포함),DA0D00029,기준년월 시점 1년내 대출연체 신규발생 과목수(연체대출금 상환 포함),N,,Int
122,기업신용공여연체과목수(일보)(3년내발생)(해제포함),DA0D00029_1,기준년월 시점 3년내 대출연체 신규발생 과목수(연체대출금 상환 포함),N,,Int
123,기업신용공여연체과목수(일보)(3개월내유지)(연체일수30일이상)(해제포함),DA0D00030,기준년월 시점 3개월내 연체일수가 30일 이상 된 대출연체 유지 과목수(연체대출금 상환 포함),N,,Int
124,기업신용공여연체과목수(일보)(6개월내유지)(연체일수30일이상)(해제포함),DA0D00031,기준년월 시점 6개월내 연체일수가 30일 이상 된 대출연체 유지 과목수(연체대출금 상환 포함),N,,Int
125,기업신용공여연체과목수(일보)(1년내유지)(연체일수30일이상)(해제포함),DA0D00032,기준년월 시점 1년내 연체일수가 30일 이상 된 대출연체 유지 과목수(연체대출금 상환 포함),N,,Int
126,기업신용공여연체과목수(일보)(3년내유지)(연체일수30일이상)(해제포함),DA0D00032_3,기준년월 시점 3년내 연체일수가 30일 이상 된 대출연체 유지 과목수(연체대출금 상환 포함),N,,Int
127,기업신용공여30일이상연체과목수(일보)(해제포함),DB0D00005,기준년월 시점 연체일수가 30일 이상 된 대출연체 유지 과목수(연체대출금 상환 포함),N,,Int
128,기업신용공여30일이상연체과목수(일보)(미해제),DB0D00006,기준년월 시점 연체일수가 30일 이상 된 대출연체 유지 과목수(연체대출금 상환 제외),N,,Int
129,기업신용공여30일이상연체과목수(일보)(이자연체)(해제포함),DB0D00007,기준년월 시점 연체일수가 30일 이상 된 이자 및 원금 대출연체 유지 과목수(연체대출금 상환 포함),N,,Int
130,기업신용공여30일이상연체과목수(일보)(이자연체)(미해제),DB0D00008,기준년월 시점 연체일수가 30일 이상 된 이자 및 원금 대출연체 유지 과목수(연체대출금 상환 제외),N,,Int
131,기업신용공여연체기관수(일보)(미해제),DA0D00042,"기준년월 시점 연체일수가 30일 이상 대출연체 유지 기관수(연체대출금 상환 제외)
: 기관=법인등록번호 기준 소속 사업자번호수",N,,Int
132,기업신용공여30일이상연체기관수(일보)(해제포함),DB0D00009,기준년월 시점 연체일수가 30일 이상 대출연체 유지 기관수(연체대출금 상환 포함),N,,Int
133,기업신용공여30일이상연체기관수(일보)(미해제),DB0D00010,기준년월 시점 연체일수가 30일 이상 대출연체 유지 기관수(연체대출금 상환 제외),N,,Int
134,기업신용공여30일이상연체기관수(일보)(연체)(해제포함),DB0D00011,기준년월 시점 연체일수가 30일 이상 대출연체 유지 기관수(연체대출금 상환 포함),N,,Int
135,기업신용공여30일이상연체기관수(일보)(이자연체)(미해제),DB0D00012,기준년월 시점 연체일수가 30일 이상 대출연체 유지 기관수(연체대출금 상환 제외),N,,Int
136,기업신용공여연체기관수(일보)(3개월내유지)(연체일수30일이상)(해제포함),DA0D00044_1,기준년월 시점 3개월내 연체일수가 30일 이상 된 대출연체 유지 기관수(연체대출금 상환 포함),N,,Int
137,기업신용공여연체기관수(일보)(6개월내유지)(연체일수30일이상)(해제포함),DA0D00044_2,기준년월 시점 6개월내 연체일수가 30일 이상 된 대출연체 유지 기관수(연체대출금 상환 포함),N,,Int
138,기업신용공여연체기관수(일보)(1년내유지)(연체일수30일이상)(해제포함),DA0D00044_3,기준년월 시점 1년내 연체일수가 30일 이상 된 대출연체 유지 기관수(연체대출금 상환 포함),N,,Int
139,기업신용공여연체기관수(일보)(3년내유지)(연체일수30일이상)(해제포함),DA0D00044_4,기준년월 시점 3년내 연체일수가 30일 이상 된 대출연체 유지 기관수(연체대출금 상환 포함),N,,Int
140,기업신용공여연체최장연체일수(일보)(3개월내유지)(해제포함),DA0D00033_1,기준년월 시점 3개월내 대출연체 최장 보유일수(연체대출금 상환 포함),N,,Int
141,기업신용공여연체최장연체일수(일보)(6개월내유지)(해제포함),DA0D00034_1,기준년월 시점 6개월내 대출연체 최장 보유일수(연체대출금 상환 포함),N,,Int
142,기업신용공여연체최장연체일수(일보)(1년내유지)(해제포함),DA0D00035_1,기준년월 시점 1년내 대출연체 최장 보유일수(연체대출금 상환 포함),N,,Int
143,기업신용공여연체최장연체일수(일보)(3년내유지)(해제포함),DA0D00035_3_1,기준년월 시점 3년내 대출연체 최장 보유일수(연체대출금 상환 포함),N,,Int
144,기업신용공여연체최장연체일수(일보)(5년내유지)(해제포함),DA0D00035_4_1,기준년월 시점 5년내 대출연체 최장 보유일수(연체대출금 상환 포함),N,,Int
145,기업신용공여연체최장연체일수(일보)(3개월내발생)(해제포함),DA0D00033_2,기준년월 시점 3개월내 대출연체 발생분 최장 보유일수(연체대출금 상환 포함),N,,Int
146,기업신용공여연체최장연체일수(일보)(6개월내발생)(해제포함),DA0D00034_2,기준년월 시점 6개월내 대출연체 발생분 최장 보유일수(연체대출금 상환 포함),N,,Int
147,기업신용공여연체최장연체일수(일보)(1년내발생)(해제포함),DA0D00035_2,기준년월 시점 1년내 대출연체 발생분 최장 보유일수(연체대출금 상환 포함),N,,Int
148,기업신용공여연체최장연체일수(일보)(3년내발생)(해제포함),DA0D00035_3_2,기준년월 시점 3년내 대출연체 발생분 최장 보유일수(연체대출금 상환 포함),N,,Int
149,기업신용공여연체최장연체일수(일보)(5년내발생)(해제포함),DA0D00035_4_2,기준년월 시점 5년내 대출연체 발생분 최장 보유일수(연체대출금 상환 포함),N,,Int
150,신용도판단공공정보건수(CIS)(5년내발생)(해제포함),D2011000H,기준년월 시점 신용도판단정보 및 공공정보 (한국신용정보원) 발생건수(해제 포함),N,,Int
151,신용도판단정보공공정보건수(CIS)(미해제),D2B000001,기준년월 시점 신용도판단정보 및 공공정보 (한국신용정보원) 발생건수(해제 제외),N,,Int
152,신용도판단정보공공정보건수(관련인제외)(CIS)(당월유지)(해제포함),D2B000005,기준년월 시점 관련인을 제외한 신용도판단정보 및 공공정보 (한국신용정보원) 발생건수(해제 포함),N,,Int
153,"공공정보(국세,지방세,관세체납)건수(CIS)(미해제)",D2B000012,기준년월 시점 공공정보 (한국신용정보원) 유지건수(해제 제외),N,,Int
154,"공공정보(국세,지방세,관세체납)건수(CIS)(5년내발생)",D2B000012_1,기준년월 시점 공공정보 (한국신용정보원) 5년내 발생건수,N,,Int
155,"공공정보(국세,지방세,관세체납,고용산재체납)건수(CIS)(미해제)",D2B000012_2,기준년월 시점 공공정보 (한국신용정보원) 발생건수(해제 제외),N,,Int
156,"공공정보(국세,지방세,관세체납,고용산재체납)건수(CIS)(5년내발생)",D2B000012_3,기준년월 시점 공공정보 (한국신용정보원) 5년내 발생건수,N,,Int
157,"신용도판단정보공공정보최근발생일자로부터경과일수(CIS)(해제,삭제)",D2B000002,기준년월 시점 신용도판단정보 및 공공정보 (한국신용정보원) 최근 발생일자로 부터 경과일수(해제 포함),N,,Int
158,"신용도판단정보공공정보최근해제일자로부터경과일수(CIS)(해제,삭제)",D2B000003,기준년월 시점 신용도판단정보 및 공공정보 (한국신용정보원) 최근 해제일자로 부터 경과일수,N,,Int
159,기업신용평가등급(구간화),CORP_GRAD,10구간으로 구분(1~10. 1등급일수록 우량),Y,"0 : 등급이 부여되지 않은 기업을 의미(special value)
1 : 신용도가 최고 우량한 수준
2 : 신용도가 매우 높지만 AAA 대비 다소 낮은 수준
3 : 신용도가 높은 편이나 경기변화에 따라 제한적 영향 가능성 있음
4 : 신용도가 양호한 편이나 장래 환경악화시 거래안정성 저하 가능성 있음
5 : 신용도가 양호한 편이나 장래 환경악화시 거래안정성 저하가 우려됨
6 : 신용도에 당면 문제는 없으나 장래 환경악화 시 거래안정성 저하가능성 높음
7 : 신용도가 낮으며 향후 채무불이행 가능성 내포
8 : 신용도가 매우 낮아 채무불이행 가능성이 높음
9 : 신용도가 최하 수준이며 채무불이행에 준하는 상태에 있음
10 : 채무불이행 상태에 있음",Char
160,모형개발용Performance(향후1년내부도여부),PERF_12M,"기준일로부터 향후 1년내 부도, 기업회생, 90일이상 금융연체, 대지급 등 발생여부(신용정보원 기준). 1: 향후1년내 부도발생, 0: 향후1년내 부도미발생",Y,"0 : 부
1 : 여",Char
