No,필드한글명,설명
98,이용개월수_부분무이자_R6M,이용 개월수 부분 무이자 (최근6개월간)
99,이용개월수_CA_R6M,이용 개월수 현금서비스 (최근6개월간)
100,이용개월수_체크_R6M,이용 개월수 체크 (최근6개월간)
101,이용개월수_카드론_R6M,이용 개월수 카드론 (최근6개월간)
102,이용건수_신용_R3M,이용건수 일시불+할부+현금서비스+카드론 (최근3개월간)
103,이용건수_신판_R3M,이용건수 일시불+할부 (최근3개월간)
104,이용건수_일시불_R3M,이용건수 일시불 (최근3개월간)
105,이용건수_할부_R3M,이용건수 할부 (최근3개월간)
106,이용건수_할부_유이자_R3M,이용건수 할부 유이자 (최근3개월간)
107,이용건수_할부_무이자_R3M,이용건수 할부 무이자 (최근3개월간)
108,이용건수_부분무이자_R3M,이용건수 부분 무이자 (최근3개월간)
109,이용건수_CA_R3M,이용건수 현금서비스 (최근3개월간)
110,이용건수_체크_R3M,이용건수 체크 (최근3개월간)
111,이용건수_카드론_R3M,이용건수 카드론 (최근3개월간)
112,이용금액_일시불_R3M,이용금액 일시불 (최근3개월간)
113,이용금액_할부_R3M,이용금액 할부 (최근3개월간)
114,이용금액_할부_유이자_R3M,이용금액 할부 유이자 (최근3개월간)
115,이용금액_할부_무이자_R3M,이용금액 할부 무이자 (최근3개월간)
116,이용금액_부분무이자_R3M,이용금액 부분 무이자 (최근3개월간)
117,이용금액_CA_R3M,이용금액 현금서비스 (최근3개월간)
118,이용금액_체크_R3M,이용금액 체크 (최근3개월간)
119,이용금액_카드론_R3M,이용금액 카드론 (최근3개월간)
120,이용개월수_신용_R3M,이용 개월수 일시불+할부+현금서비스+카드론 (최근3개월간)
121,이용개월수_신판_R3M,이용 개월수 일시불+할부 (최근3개월간)
122,이용개월수_일시불_R3M,이용 개월수 일시불 (최근3개월간)
123,이용개월수_할부_R3M,이용 개월수 할부 (최근3개월간)
124,이용개월수_할부_유이자_R3M,이용 개월수 할부 유이자 (최근3개월간)
125,이용개월수_할부_무이자_R3M,이용 개월수 할부 무이자 (최근3개월간)
126,이용개월수_부분무이자_R3M,이용 개월수 부분 무이자 (최근3개월간)
127,이용개월수_CA_R3M,이용 개월수 현금서비스 (최근3개월간)
128,이용개월수_체크_R3M,이용 개월수 체크 (최근3개월간)
129,이용개월수_카드론_R3M,이용 개월수 카드론 (최근3개월간)
130,이용가맹점수,최근 3개월 이용 가맹점수
131,이용금액_해외,최근 3개월 이용금액 해외
132,쇼핑_도소매_이용금액,최근 3개월 쇼핑 도소매 이용금액
133,쇼핑_백화점_이용금액,최근 3개월 쇼핑 백화점 이용금액
134,쇼핑_마트_이용금액,최근 3개월 쇼핑 마트 이용금액
135,쇼핑_슈퍼마켓_이용금액,최근 3개월 쇼핑 슈퍼마켓 이용금액
136,쇼핑_편의점_이용금액,최근 3개월 쇼핑 편의점 이용금액
137,쇼핑_아울렛_이용금액,최근 3개월 쇼핑 아울렛 이용금액
138,쇼핑_온라인_이용금액,최근 3개월 쇼핑 온라인 이용금액
139,쇼핑_기타_이용금액,최근 3개월 쇼핑 기타 이용금액
140,교통_주유이용금액,최근 3개월 교통 주유이용금액
141,교통_정비이용금액,최근 3개월 교통 정비이용금액
142,교통_통행료이용금액,최근 3개월 교통 통행료이용금액
143,교통_버스지하철이용금액,최근 3개월 교통 버스지하철이용금액
144,교통_택시이용금액,최근 3개월 교통 택시이용금액
145,교통_철도버스이용금액,최근 3개월 교통 철도버스이용금액
146,여유_운동이용금액,최근 3개월 여유 운동이용금액
147,여유_Pet이용금액,최근 3개월 여유 Pet이용금액
148,여유_공연이용금액,최근 3개월 여유 공연이용금액
149,여유_공원이용금액,최근 3개월 여유 공원이용금액
150,여유_숙박이용금액,최근 3개월 여유 숙박이용금액
151,여유_여행이용금액,최근 3개월 여유 여행이용금액
152,여유_항공이용금액,최근 3개월 여유 항공이용금액
153,여유_기타이용금액,최근 3개월 여유 기타이용금액
154,납부_통신비이용금액,최근 3개월 납부 통신비이용금액
155,납부_관리비이용금액,최근 3개월 납부 관리비이용금액
156,납부_렌탈료이용금액,최근 3개월 납부 렌탈료이용금액
157,납부_가스전기료이용금액,최근 3개월 납부 가스전기료이용금액
158,납부_보험료이용금액,최근 3개월 납부 보험료이용금액
159,납부_유선방송이용금액,최근 3개월 납부 유선방송이용금액
160,납부_건강연금이용금액,최근 3개월 납부 건강연금이용금액
161,납부_기타이용금액,최근 3개월 납부 기타이용금액
162,_1순위업종,최근 3개월 1순위업종
163,_1순위업종_이용금액,최근 3개월 1순위업종 이용금액
164,_2순위업종,최근 3개월 2순위업종
165,_2순위업종_이용금액,최근 3개월 2순위업종 이용금액
166,_3순위업종,최근 3개월 3순위업종
167,_3순위업종_이용금액,최근 3개월 3순위업종 이용금액
168,_1순위쇼핑업종,최근 3개월 1순위쇼핑업종
169,_1순위쇼핑업종_이용금액,최근 3개월 1순위쇼핑업종 이용금액
170,_2순위쇼핑업종,최근 3개월 2순위쇼핑업종
171,_2순위쇼핑업종_이용금액,최근 3개월 2순위쇼핑업종 이용금액
172,_3순위쇼핑업종,최근 3개월 3순위쇼핑업종
173,_3순위쇼핑업종_이용금액,최근 3개월 3순위쇼핑업종 이용금액
174,_1순위교통업종,최근 3개월 1순위교통업종
175,_1순위교통업종_이용금액,최근 3개월 1순위교통업종 이용금액
176,_2순위교통업종,최근 3개월 2순위교통업종
177,_2순위교통업종_이용금액,최근 3개월 2순위교통업종 이용금액
178,_3순위교통업종,최근 3개월 3순위교통업종
179,_3순위교통업종_이용금액,최근 3개월 3순위교통업종 이용금액
180,_1순위여유업종,최근 3개월 1순위여유업종
181,_1순위여유업종_이용금액,최근 3개월 1순위여유업종 이용금액
182,_2순위여유업종,최근 3개월 2순위여유업종
183,_2순위여유업종_이용금액,최근 3개월 2순위여유업종 이용금액
184,_3순위여유업종,최근 3개월 3순위여유업종
185,_3순위여유업종_이용금액,최근 3개월 3순위여유업종 이용금액
186,_1순위납부업종,최근 3개월 1순위납부업종
187,_1순위납부업종_이용금액,최근 3개월 1순위납부업종 이용금액
188,_2순위납부업종,최근 3개월 2순위납부업종
189,_2순위납부업종_이용금액,최근 3개월 2순위납부업종 이용금액
190,_3순위납부업종,최근 3개월 3순위납부업종
191,_3순위납부업종_이용금액,최근 3개월 3순위납부업종 이용금액
192,할부건수_3M_R12M,최근1년 3개월 이하 할부 건수
193,할부건수_6M_R12M,최근1년 4 ~ 6개월 할부 건수
194,할부건수_12M_R12M,최근1년 7 ~ 12개월 할부 건수
195,할부건수_14M_R12M,최근1년 12개월 이상 할부 건수
196,할부금액_3M_R12M,최근1년 3개월 이하 할부 금액
197,할부금액_6M_R12M,최근1년 4 ~ 6개월 할부 금액
198,할부금액_12M_R12M,최근1년 7 ~ 12개월 할부 금액
199,할부금액_14M_R12M,최근1년 12개월 이상 할부 금액
200,할부건수_유이자_3M_R12M,"최근1년 3개월 이하 유이자 할부 건수
( 무이자 및 부분 무이자 제외)"
201,할부건수_유이자_6M_R12M,"최근1년 4 ~ 6개월 유이자 할부 건수
( 무이자 및 부분 무이자 제외)"
202,할부건수_유이자_12M_R12M,"최근1년 7 ~ 12개월 유이자 할부 건수
( 무이자 및 부분 무이자 제외)"
203,할부건수_유이자_14M_R12M,"최근1년 12개월 이상 유이자 할부 건수
( 무이자 및 부분 무이자 제외)"
204,할부금액_유이자_3M_R12M,"최근1년 3개월 이하 유이자 할부 금액
( 무이자 및 부분 무이자 제외)"
205,할부금액_유이자_6M_R12M,"최근1년 4 ~ 6개월 유이자 할부 금액
( 무이자 및 부분 무이자 제외)"
206,할부금액_유이자_12M_R12M,"최근1년 7 ~ 12개월 유이자 할부 금액
( 무이자 및 부분 무이자 제외)"
207,할부금액_유이자_14M_R12M,"최근1년 12개월 이상 유이자 할부 금액
( 무이자 및 부분 무이자 제외)"
208,할부건수_무이자_3M_R12M,"최근1년 3개월 이하 무이자 할부 건수
( 유이자 및 부분 무이자 제외)"
209,할부건수_무이자_6M_R12M,"최근1년 4 ~ 6개월 무이자 할부 건수
( 유이자 및 부분 무이자 제외)"
210,할부건수_무이자_12M_R12M,"최근1년 7 ~ 12개월 무이자 할부 건수
( 유이자 및 부분 무이자 제외)"
211,할부건수_무이자_14M_R12M,"최근1년 12개월 이상 무이자 할부 건수
( 유이자 및 부분 무이자 제외)"
212,할부금액_무이자_3M_R12M,"최근1년 3개월 이하 무이자 할부 금액
( 유이자 및 부분 무이자 제외)"
213,할부금액_무이자_6M_R12M,"최근1년 4 ~ 6개월 무이자 할부 금액
( 유이자 및 부분 무이자 제외)"
214,할부금액_무이자_12M_R12M,"최근1년 7 ~ 12개월 무이자 할부 금액
( 유이자 및 부분 무이자 제외)"
215,할부금액_무이자_14M_R12M,"최근1년 12개월 이상 무이자 할부 금액
( 유이자 및 부분 무이자 제외)"
216,할부건수_부분_3M_R12M,최근1년 3개월 이하 부분 무이자 할부 건수
217,할부건수_부분_6M_R12M,최근1년 4 ~ 6개월 부분 무이자 할부 건수
218,할부건수_부분_12M_R12M,최근1년 7 ~ 12개월 부분 무이자 할부 건수
219,할부건수_부분_14M_R12M,최근1년 12개월 이상 부분 무이자 할부 건수
220,할부금액_부분_3M_R12M,최근1년 3개월 이하 부분 무이자 할부 금액
221,할부금액_부분_6M_R12M,최근1년 4 ~ 6개월 부분 무이자 할부 금액
222,할부금액_부분_12M_R12M,최근1년 7 ~ 12개월 부분 무이자 할부 금액
223,할부금액_부분_14M_R12M,최근1년 12개월 이상 부분 무이자 할부 금액
224,RP건수_B0M,RP업종 이용 건수 (당월)
225,RP금액_B0M,RP업종 이용 금액 (당월)
226,RP유형건수_B0M,RP업종 이용 건수 (당월)
227,RP건수_통신_B0M,통신 이용 건수 (당월)
228,RP건수_아파트_B0M,아파트 이용 건수 (당월)
229,RP건수_제휴사서비스직접판매_B0M,"이번달 제휴사서비스직접판매 이용 건수
(당사가 제휴사의 서비스를 직접판매로 이뤄진 결제)"
230,RP건수_렌탈_B0M,렌탈 이용 건수 (당월)
231,RP건수_가스_B0M,가스 이용 건수 (당월)
232,RP건수_전기_B0M,전기 이용 건수 (당월)
233,RP건수_보험_B0M,보험 이용 건수 (당월)
234,RP건수_학습비_B0M,학습비 이용 건수 (당월)
235,RP건수_유선방송_B0M,유선방송 이용 건수 (당월)
236,RP건수_건강_B0M,건강 이용 건수 (당월)
237,RP건수_교통_B0M,교통 이용 건수 (당월)
238,RP후경과월,최근6개월 RP 이용 경과월
239,RP후경과월_통신,최근6개월 통신 이용 경과월
240,RP후경과월_아파트,최근6개월 아파트 이용 경과월
241,RP후경과월_제휴사서비스직접판매,최근6개월 제휴사서비스직접판매 이용 경과월
242,RP후경과월_렌탈,최근6개월 렌탈 이용 경과월
243,RP후경과월_가스,최근6개월 가스 이용 경과월
244,RP후경과월_전기,최근6개월 전기 이용 경과월
245,RP후경과월_보험,최근6개월 보험 이용 경과월
246,RP후경과월_학습비,최근6개월 학습 이용 경과월
247,RP후경과월_유선방송,최근6개월 유선방송 이용 경과월
248,RP후경과월_건강,최근6개월 건강 이용 경과월
249,RP후경과월_교통,최근6개월 교통 이용 경과월
250,증감_RP건수_전월,증감 RP건수 (1개월전)
251,증감_RP유형건수_전월,증감 RP유형건수 (1개월전)
252,증감_RP건수_통신_전월,증감 RP건수 통신 (1개월전)
253,증감_RP건수_아파트_전월,증감 RP건수 아파트 (1개월전)
254,증감_RP건수_제휴사서비스직접판매_전월,증감 RP건수 제휴사서비스직접판매 (1개월전)
255,증감_RP건수_렌탈_전월,증감 RP건수 렌탈 (1개월전)
256,증감_RP건수_가스_전월,증감 RP건수 가스 (1개월전)
257,증감_RP건수_전기_전월,증감 RP건수 전기 (1개월전)
258,증감_RP건수_보험_전월,증감 RP건수 보험 (1개월전)
259,증감_RP건수_학습비_전월,증감 RP건수 학습비 (1개월전)
260,증감_RP건수_유선방송_전월,증감 RP건수 유선방송 (1개월전)
261,증감_RP건수_건강_전월,증감 RP건수 건강 (1개월전)
262,증감_RP건수_교통_전월,증감 RP건수 교통 (1개월전)
263,최초카드론이용경과월,최초 장기카드 대출 이용 후 경과 개월 수
264,최종카드론이용경과월,최근 장기카드 대출 이용 후 경과 개월 수
265,카드론이용건수_누적,장기카드대출 이용 건수
266,카드론이용월수_누적,장기카드대출 이용 월수
267,카드론이용금액_누적,장기카드대출  이용 금액
268,최종카드론_금융상환방식코드,최근에 실행한 장기카드 대출 상환방식
269,최종카드론_신청경로코드,최근에 실행한 장기카드 대출 신청경로
270,최종카드론_대출이율,최근에 실행한 장기카드 대출의 연이율
271,최종카드론_대출일자,최근에 실행한 장기카드 대출의 일자
272,최종카드론_대출월수,최근에 실행한 장기카드 대출 약정 개월
273,최종카드론_거치개월수,최근에 실행한 장기카드 대출의 거치개월 수
274,최종카드론_대출금액,최근에 실행한 장기카드 대출의 대출금액
275,이용개월수_온라인_R6M,이용개월수 온라인 (최근6개월간)
276,이용개월수_오프라인_R6M,이용개월수 오프라인 (최근6개월간)
277,이용금액_온라인_R6M,이용금액 온라인 (최근6개월간)
278,이용금액_오프라인_R6M,이용금액 오프라인 (최근6개월간)
279,이용건수_온라인_R6M,이용건수 온라인 (최근6개월간)
280,이용건수_오프라인_R6M,이용건수 오프라인 (최근6개월간)
281,이용금액_온라인_R3M,이용금액 온라인 (최근3개월간)
282,이용금액_오프라인_R3M,이용금액 오프라인 (최근3개월간)
283,이용건수_온라인_R3M,이용건수 온라인 (최근3개월간)
284,이용건수_오프라인_R3M,이용건수 오프라인 (최근3개월간)
285,이용금액_온라인_B0M,이용금액 온라인 (당월)
286,이용금액_오프라인_B0M,이용금액 오프라인 (당월)
287,이용건수_온라인_B0M,이용건수 온라인 (당월)
288,이용건수_오프라인_B0M,이용건수 오프라인 (당월)
289,이용개월수_페이_온라인_R6M,이용개월수 페이 온라인 (최근6개월간)
290,이용개월수_페이_오프라인_R6M,이용개월수 페이 오프라인 (최근6개월간)
291,이용금액_페이_온라인_R6M,이용금액 페이 온라인 (최근6개월간)
292,이용금액_페이_오프라인_R6M,이용금액 페이 오프라인 (최근6개월간)
293,이용건수_페이_온라인_R6M,이용건수 페이 온라인 (최근6개월간)
294,이용건수_페이_오프라인_R6M,이용건수 페이 오프라인 (최근6개월간)
295,이용금액_페이_온라인_R3M,이용금액 페이 온라인 (최근3개월간)
296,이용금액_페이_오프라인_R3M,이용금액 페이 오프라인 (최근3개월간)
297,이용건수_페이_온라인_R3M,이용건수 페이 온라인 (최근3개월간)
298,이용건수_페이_오프라인_R3M,이용건수 페이 오프라인 (최근3개월간)
299,이용금액_페이_온라인_B0M,이용금액 페이 온라인 (당월)
300,이용금액_페이_오프라인_B0M,이용금액 페이 오프라인 (당월)
301,이용건수_페이_온라인_B0M,이용건수 페이 온라인 (당월)
302,이용건수_페이_오프라인_B0M,이용건수 페이 오프라인 (당월)
303,이용개월수_간편결제_R6M,이용개월수 간편결제 (최근6개월간)
304,이용개월수_당사페이_R6M,이용개월수 당사페이 (최근6개월간)
305,이용개월수_당사기타_R6M,이용개월수 당사기타 (최근6개월간)
306,이용개월수_A페이_R6M,이용개월수 A페이 (최근6개월간)
307,이용개월수_B페이_R6M,이용개월수 B페이 (최근6개월간)
308,이용개월수_C페이_R6M,이용개월수 C페이 (최근6개월간)
309,이용개월수_D페이_R6M,이용개월수 D페이 (최근6개월간)
310,이용금액_간편결제_R6M,이용금액 간편결제 (최근6개월간)
311,이용금액_당사페이_R6M,이용금액 당사페이 (최근6개월간)
312,이용금액_당사기타_R6M,이용금액 당사기타 (최근6개월간)
313,이용금액_A페이_R6M,이용금액 A페이 (최근6개월간)
314,이용금액_B페이_R6M,이용금액 B페이 (최근6개월간)
315,이용금액_C페이_R6M,이용금액 C페이 (최근6개월간)
316,이용금액_D페이_R6M,이용금액 D페이 (최근6개월간)
317,이용건수_간편결제_R6M,이용건수 간편결제 (최근6개월간)
318,이용건수_당사페이_R6M,이용건수 당사페이 (최근6개월간)
319,이용건수_당사기타_R6M,이용건수 당사기타 (최근6개월간)
320,이용건수_A페이_R6M,이용건수 A페이 (최근6개월간)
321,이용건수_B페이_R6M,이용건수 B페이 (최근6개월간)
322,이용건수_C페이_R6M,이용건수 C페이 (최근6개월간)
323,이용건수_D페이_R6M,이용건수 D페이 (최근6개월간)
324,이용금액_간편결제_R3M,이용금액 간편결제 (최근3개월간)
325,이용금액_당사페이_R3M,이용금액 당사페이 (최근3개월간)
326,이용금액_당사기타_R3M,이용금액 당사기타 (최근3개월간)
327,이용금액_A페이_R3M,이용금액 A페이 (최근3개월간)
328,이용금액_B페이_R3M,이용금액 B페이 (최근3개월간)
329,이용금액_C페이_R3M,이용금액 C페이 (최근3개월간)
330,이용금액_D페이_R3M,이용금액 D페이 (최근3개월간)
331,이용건수_간편결제_R3M,이용건수 간편결제 (최근3개월간)
332,이용건수_당사페이_R3M,이용건수 당사페이 (최근3개월간)
333,이용건수_당사기타_R3M,이용건수 당사기타 (최근3개월간)
334,이용건수_A페이_R3M,이용건수 A페이 (최근3개월간)
335,이용건수_B페이_R3M,이용건수 B페이 (최근3개월간)
336,이용건수_C페이_R3M,이용건수 C페이 (최근3개월간)
337,이용건수_D페이_R3M,이용건수 D페이 (최근3개월간)
338,이용금액_간편결제_B0M,이용금액 간편결제 (당월)
339,이용금액_당사페이_B0M,이용금액 당사페이 (당월)
340,이용금액_당사기타_B0M,이용금액 당사기타 (당월)
341,이용금액_A페이_B0M,이용금액 A페이 (당월)
342,이용금액_B페이_B0M,이용금액 B페이 (당월)
343,이용금액_C페이_B0M,이용금액 C페이 (당월)
344,이용금액_D페이_B0M,이용금액 D페이 (당월)
345,이용건수_간편결제_B0M,이용건수 간편결제 (당월)
346,이용건수_당사페이_B0M,이용건수 당사페이 (당월)
347,이용건수_당사기타_B0M,이용건수 당사기타 (당월)
348,이용건수_A페이_B0M,이용건수 A페이 (당월)
349,이용건수_B페이_B0M,이용건수 B페이 (당월)
350,이용건수_C페이_B0M,이용건수 C페이 (당월)
351,이용건수_D페이_B0M,이용건수 D페이 (당월)
352,이용개월수_선결제_R6M,이용개월수 선결제 (최근6개월간)
353,이용횟수_선결제_R6M,이용횟수 선결제 (최근6개월간)
354,이용금액_선결제_R6M,이용금액 선결제 (최근6개월간)
355,이용건수_선결제_R6M,이용건수 선결제 (최근6개월간)
356,이용횟수_선결제_R3M,이용횟수 선결제 (최근3개월간)
357,이용금액_선결제_R3M,이용금액 선결제 (최근3개월간)
358,이용건수_선결제_R3M,이용건수 선결제 (최근3개월간)
359,이용횟수_선결제_B0M,이용횟수 선결제 (당월)
360,이용금액_선결제_B0M,이용금액 선결제 (당월)
361,이용건수_선결제_B0M,이용건수 선결제 (당월)
362,이용횟수_연체_R6M,이용횟수 연체 (최근6개월간)
363,이용금액_연체_R6M,이용금액 연체 (최근6개월간)
364,이용횟수_연체_R3M,이용횟수 연체 (최근3개월간)
365,이용금액_연체_R3M,이용금액 연체 (최근3개월간)
366,이용횟수_연체_B0M,이용횟수 연체 (당월)
367,이용금액_연체_B0M,이용금액 연체 (당월)
368,이용개월수_전체_R6M,이용개월수 전체 (최근6개월간)
369,이용개월수_전체_R3M,이용개월수 전체 (최근3개월간)
370,이용개월수_결제일_R6M,이용개월수 결제일 (최근6개월간)
371,이용개월수_결제일_R3M,이용개월수 결제일 (최근3개월간)
372,가맹점매출금액_B1M,가맹점매출금액 (1개월전)
373,가맹점매출금액_B2M,가맹점매출금액 (2개월전)
374,정상청구원금_B0M,정상청구원금 (당월)
375,선입금원금_B0M,선입금원금 (당월)
376,정상입금원금_B0M,정상입금원금 (당월)
377,연체입금원금_B0M,연체입금원금 (당월)
378,정상청구원금_B2M,정상청구원금 (2개월전)
379,선입금원금_B2M,선입금원금 (2개월전)
380,정상입금원금_B2M,정상입금원금 (2개월전)
381,연체입금원금_B2M,연체입금원금 (2개월전)
382,정상청구원금_B5M,정상청구원금 (5개월전)
383,선입금원금_B5M,선입금원금 (5개월전)
384,정상입금원금_B5M,정상입금원금 (5개월전)
385,연체입금원금_B5M,연체입금원금 (5개월전)
386,건수_할부전환_R6M,건수 할부전환 (최근6개월간)
387,건수_할부전환_R3M,건수 할부전환 (최근3개월간)
388,금액_할부전환_R6M,금액 할부전환 (최근6개월간)
389,금액_할부전환_R3M,금액 할부전환 (최근3개월간)
390,연속무실적개월수_기본_24M_카드,연속 카드 무실적 개월수 (최근2년간)
391,연속유실적개월수_기본_24M_카드,연속 카드 유실적 개월수 (최근2년간)
392,신청건수_ATM_CA_B0,신청건수 ATM 현금서비스 (당월)
393,신청건수_ATM_CL_B0,신청건수 ATM 장기카드대출 (당월)
394,신청건수_ATM_CA_R6M,신청건수 ATM 현금서비스 (최근6개월간)
395,신청건수_ATM_CL_R6M,신청건수 ATM 장기카드대출 (최근6개월간)
396,승인거절건수_B0M,승인거절건수 (당월)
397,승인거절건수_한도초과_B0M,승인거절건수 한도초과 (당월)
398,승인거절건수_BL_B0M,승인거절건수 BL (당월)
399,승인거절건수_입력오류_B0M,승인거절건수 입력오류 (당월)
400,승인거절건수_기타_B0M,승인거절건수 기타 (당월)
401,승인거절건수_R3M,승인거절건수 (최근3개월간)
402,승인거절건수_한도초과_R3M,승인거절건수 한도초과 (최근3개월간)
